checkpoint_task,eval_task,eval_name,protocol,memory_view,variant,nll_per_event,accuracy,local_time_mae,events
6,,anchor_X_transient,frozen,full,frozen/full,3.2416004777209917,0.14465857720675707,1.0925230361608105,4203
6,,anchor_A_merge,frozen,full,frozen/full,3.196583468021113,0.14816602316602318,1.122694764818464,4144
6,,anchor_E_1,frozen,full,frozen/full,3.3341308123214652,0.09495839451786588,1.0083176887799756,4086
6,6,task_06_test,fast_adapt,full,fast_adapt/full,2.7777777843080464,0.34232065479056334,0.9658543086706243,2077
6,7,task_07_test_pre,fast_adapt,full,fast_adapt/full,3.251194507487623,0.14384577360355907,1.1523930695289089,2023
6,6,task_06_control,fast_adapt,full,fast_adapt/full,2.852972419985803,0.36086344439230406,1.095253672749713,2131
6,,anchor_A_1,fast_adapt,full,fast_adapt/full,3.2030278918459936,0.1549631040228517,1.1842058958595238,4201
6,,anchor_B_1,fast_adapt,full,fast_adapt/full,3.4447876156713493,0.09964580873671783,1.1597984822891398,4235
6,,anchor_C_1,fast_adapt,full,fast_adapt/full,2.5827315928205414,0.3682219419924338,0.9117948058273874,3965
6,,anchor_B_prime_1,fast_adapt,full,fast_adapt/full,3.3924066315882904,0.08782670120084765,1.173805674244607,4247
6,,anchor_A_2,fast_adapt,full,fast_adapt/full,3.31544335517248,0.1424310216256525,1.194338558148662,4023
6,,anchor_X_transient,fast_adapt,full,fast_adapt/full,3.2410888926006627,0.14513442778967403,1.0924780240037344,4203
6,,anchor_A_merge,fast_adapt,full,fast_adapt/full,3.1961783405436512,0.14864864864864866,1.1226734157694813,4144
6,,anchor_E_1,fast_adapt,full,fast_adapt/full,3.333282362405307,0.09618208516886931,1.0082606475725515,4086
6,6,task_06_test,online_write,full,online_write/full,2.777782594957279,0.34232065479056334,1.0411151626744148,2077
6,7,task_07_test_pre,online_write,full,online_write/full,3.2511980912942318,0.14384577360355907,1.2525807419677646,2023
6,6,task_06_control,online_write,full,online_write/full,2.8529778620982493,0.36086344439230406,1.1695703566511406,2131
6,,anchor_A_1,online_write,full,online_write/full,3.2030272002038616,0.1547250654606046,1.2800236815525499,4201
6,,anchor_B_1,online_write,full,online_write/full,3.4447926987266033,0.09964580873671783,1.2583673977441514,4235
6,,anchor_C_1,online_write,full,online_write/full,2.5827382620865618,0.3682219419924338,0.9797447990348931,3965
6,,anchor_B_prime_1,online_write,full,online_write/full,3.3924121528084115,0.08782670120084765,1.2653164073788918,4247
6,,anchor_A_2,online_write,full,online_write/full,3.3154423126375354,0.1424310216256525,1.3074115627500147,4023
6,,anchor_X_transient,online_write,full,online_write/full,3.2410838574387335,0.14513442778967403,1.182465930943194,4203
6,,anchor_A_merge,online_write,full,online_write/full,3.196178453451231,0.14864864864864866,1.2053683837911682,4144
6,,anchor_E_1,online_write,full,online_write/full,3.3332757766108285,0.09618208516886931,1.098676185180605,4086
